Title;Primary hostaddress;Host in cluster;Running on host / cluster;CMDB status;Operating system
BTUESPPRO-01.btu.local;10.75.1.152;RZ1-ESX-36;CL_DMZ;in operation;Windows Server 2019
BTUESPPRO-02;10.75.1.154;RZ2-ESX-37;CL_DMZ;in operation;Rocky Linux 9.4
BTUESPVEI-01;10.75.1.153;RZ1-ESX-37;CL_DMZ;in operation;CentOS Linux 8.2.2004
BTUESPVMW-01.btu.local;10.75.1.151;RZ1-ESX-36;CL_DMZ;in operation;Windows Server 2019
BTUESPVMW-02;10.75.1.155;RZ2-ESX-37;CL_DMZ;in operation;Rocky Linux 9.6
BTUGIT-1;10.75.2.113;RZ1-ESX-36;CL_DMZ;in operation;CentOS Linux 7.9.2009
BTUGRUPU-1;;RZ1-ESX-36;CL_DMZ;in operation;CentOS Linux 7.8.2003
BTUGRUPU-2;10.75.2.62;RZ2-ESX-37;CL_DMZ;in operation;CentOS Linux 7.9.2009
BTUINAPP-01;10.75.2.115;RZ1-ESX-37;CL_DMZ;in operation;Rocky Linux 9.3
BTUINDB-01;10.75.2.116;RZ2-ESX-37;CL_DMZ;in operation;Rocky Linux 9.3
BTUKFS-3;10.6.6.61;RZ1-ESX-37;CL_DMZ;in operation;Rocky Linux 9.6
BTUKMORC-01;10.75.1.81;RZ2-ESX-47;CL_DB;in operation;Oracle Linux Server 9.5
BTUMMAPP-01;;RZ1-ESX-37;CL_DMZ;in operation;Rocky Linux 8.7
BTUMOODLE-01;;RZ2-ESX-36;CL_DMZ;in operation;Rocky Linux 8.6
BTUNEX-1;;RZ2-ESX-36;CL_DMZ;in operation;Rocky Linux 8.5
BTUSENTRY-1;10.75.10.11;RZ1-ESX-36;CL_DMZ;in operation;CentOS Linux 7.9.2009
BTUVDE-1;;RZ2-ESX-56.bev.int;CL_DMZ-TU;in operation;Rocky Linux 8.9
BTUVDE-2;10.75.2.122;RZ2-ESX-56.bev.int;CL_DMZ-TU;in operation;Rocky Linux 8.9
BTUVDE-3;;RZ2-ESX-56.bev.int;CL_DMZ-TU;in operation;Rocky Linux 8.9
BTUVDE-4;;RZ2-ESX-56.bev.int;CL_DMZ-TU;in operation;Rocky Linux 8.9
BTUVDE-5;10.75.2.125;RZ2-ESX-56.bev.int;CL_DMZ-TU;in operation;Rocky Linux 8.9
BTUVDE-6;;RZ2-ESX-56.bev.int;CL_DMZ-TU;in operation;Rocky Linux 8.9
