"Komponente Nr.","Gerätename","Systemname","Service-Name","Service-Typ","Service-Klasse","Komponentenklasse","VMs","CPU","RAM (MB)","Storage (GB)"
"AbtV2$","","BEV System","","","","File Share","0","0","0","0"
"AbtV3$","","BEV System","","","","File Share","0","0","0","0"
"eTOD$","","BEV System","Luftfahrtshindernisregister (ZLHR)","Business Services","Business","File Share","8","15","24576","295"
"GruppeV$","","BEV System","","","","File Share","0","0","0","0"
"AbtV5$","","BEV System","","","","File Share","0","0","0","0"
"SAK_Projekt$","","BEV System","","","","File Share","0","0","0","0"
"V5_Produktion1$","","BEV System","","","","File Share","0","0","0","0"
"D001-V5-4-M31","","","","","","Drucker","0","0","0","0"
"V5_Produktion2$","","BEV System","","","","File Share","0","0","0","0"
"ArchivScan$","","BEV System","","","","File Share","0","0","0","0"
"ALS$","","BEV System","","","","File Share","0","0","0","0"
"BEV_DOP$","","BEV System","","","","File Share","0","0","0","0"
"ERG$","","BEV System","","","","File Share","0","0","0","0"
"Projektdaten$","","BEV System","","","","File Share","0","0","0","0"
"BEV_DLB$","","BEV System","","","","File Share","0","0","0","0"
"ECOG$","","BEV System","","","","File Share","0","0","0","0"
"ECOG2$","","BEV System","","","","File Share","0","0","0","0"
"ECOG3$","","BEV System","","","","File Share","0","0","0","0"
"Abgabe$","","BEV System","","","","File Share","0","0","0","0"
"DOPV2$","","BEV System","","","","File Share","0","0","0","0"
"Geodatencloud$","","BEV System","","","","File Share","0","0","0","0"
"DLB$","","BEV System","","","","File Share","0","0","0","0"
"PRC$","","BEV System","","","","File Share","0","0","0","0"
"Praesidium$","","BEV System","","","","File Share","0","0","0","0"
"12Share Vorlage","","BEV System","","","","File Share","0","0","0","0"
"K-00002538","W560-EA-B-N06","Frandl Marc","","","","Laptop","0","0","0","0"
"K-00002428","W003-E1-M-N35","Kratschmann Horst-Juergen","","","","Laptop","0","0","0","0"
"K-00002427","W003-E1-M-N32","E122 - Kinematik im Straßenverkehr (1.OG-1.30)","","","","Laptop","0","0","0","0"
"K-00002559","W720-EA-B-N07","ausgeschiedene Systeme","","","","Laptop","0","0","0","0"
"W120-EA-B-N06","","","","","","Laptop","0","0","0","0"
