"Title","Primary hostaddress","Host in cluster","Running on host / cluster","CMDB status","Operating system","GeneratedUniqueID"
"BEUDOK-1","10.70.2.40","RZ1-ESX-51.bev.int","CL_BEU","in operation","Rocky Linux 9.2","[""BEUDOK-1""]"
"BEUGIS-1","172.22.0.1","RZ2-ESX-41","CL_BEU","in operation","CentOS Linux 7.8.2003","[""BEUGIS-1""]"
"BEUKFS-1","10.70.5.62","RZ1-ESX-41","CL_BEU","in operation","Rocky Linux 9.6","[""BEUKFS-1""]"
"BEULDAP-1","10.70.5.65","rz2-esx-51.bev.int","CL_BEU","in operation","Rocky Linux 9.6","[""BEULDAP-1""]"
"BEULDAP-2","10.70.5.66","RZ1-ESX-41","CL_BEU","in operation","Rocky Linux 9.6","[""BEULDAP-2""]"
"BEUPOCVMW-03.beu.local","10.70.2.121","RZ2-ESX-41","CL_BEU","in operation","Windows Server 2019","[""BEUPOCVMW-03.beu.local""]"
"BEUPTL-2","10.70.5.61","RZ1-ESX-41","CL_BEU","in operation","Rocky Linux 9.6","[""BEUPTL-2""]"
"BEUQUEUE-1","10.70.2.51","","","in operation","Rocky Linux 8.4","[""BEUQUEUE-1""]"
"BEUQUEUE-1","10.70.2.51","rz2-esx-51.bev.int","CL_BEU","in operation","Rocky Linux 9.6","[""BEUQUEUE-1""]"
"BEUQUEUE-2","","","","in operation","Rocky Linux 8.4","[""BEUQUEUE-2""]"
"BEUQUEUE-2","10.70.2.52","RZ1-ESX-41","CL_BEU","in operation","Rocky Linux 9.6","[""BEUQUEUE-2""]"
"BEUQUEUE-3","10.70.2.53","","","in operation","Rocky Linux 8.4","[""BEUQUEUE-3""]"
"BEUQUEUE-3","10.70.2.53","RZ1-ESX-41","CL_BEU","in operation","Rocky Linux 9.6","[""BEUQUEUE-3""]"
"BEUREVDB-01","10.70.5.80","rz2-esx-51.bev.int","CL_BEU","in operation","Rocky Linux 9.5","[""BEUREVDB-01""]"
"BEUREVDB-01","10.70.5.80","rz2-esx-51.bev.int","CL_BEU","in operation","Rocky Linux 9.5","[""BEUREVDB-01""]"
"BEUSENTRY-1","","RZ2-ESX-41","CL_BEU","in operation","CentOS Linux 7.9.2009","[""BEUSENTRY-1""]"
"BEUVW10-99","10.70.150.99","RZ2-ESX-41","CL_BEU","in operation","Windows 10","[""BEUVW10-99""]"
"BEUVW10-99","10.70.150.99","RZ2-ESX-41","CL_BEU","in operation","Windows 10","[""BEUVW10-99""]"
"BPUINAPP-01","10.2.6.115","RZ1-ESX-32","CL_PU","in operation","Rocky Linux 9.5","[""BPUINAPP-01""]"
"BPUINDB-01","10.2.6.116","RZ1-ESX-33","CL_PU","in operation","Rocky Linux 9.5","[""BPUINDB-01""]"
"BTU-KUBCP-01","10.75.1.161","RZ1-ESX-37","CL_DMZ","in operation","Rocky Linux 9.5","[""BTU-KUBCP-01""]"
"BTU-KUBLOG-01","10.75.1.163","RZ1-ESX-36","CL_DMZ","in operation","Rocky Linux 9.5","[""BTU-KUBLOG-01""]"
"BTU-KUBLOG-01","10.75.1.163","RZ1-ESX-36","CL_DMZ","in operation","Rocky Linux 9.5","[""BTU-KUBLOG-01""]"
"BTU-KUBWN-01","10.75.1.162","RZ1-ESX-37","CL_DMZ","in operation","Rocky Linux 9.5","[""BTU-KUBWN-01""]"
"BTU-KUBWN-02","10.75.1.164","RZ1-ESX-37","CL_DMZ","in operation","Rocky Linux 9.5","[""BTU-KUBWN-02""]"
"BTU-KUBWN-02","10.75.1.164","RZ1-ESX-37","CL_DMZ","in operation","Rocky Linux 9.5","[""BTU-KUBWN-02""]"
